Producer,Latitude,Longitude
Achaval Ferrer,"-33,0564",-68.91374
Pêra-Grave,"38,5686","-7,97423"
Luis Seabra Vinhos,"41,10464","-7,38576"
Grau Baumé,"39,88643","-8,26883"
Maipo,"-33,60481","-70,62693"
Arinzano,"42,63061","-1,99417"
Juvé & Camps,"41,44347","-1,81205"
Aalto,"41,60333","-4,26489"
Olivier Riviere,"42,57278","-2,57971"
Villa Diamante,"40,96719","14,82298"
Sandrone,"44,62101","7,95461"
Tenute Rubino,"40,63043","17,95790"
Casanova di Neri,"43,05714","11,52073"
Astoria Wines,"45,88929","12,22490"
Domaine Zind-Humbrecht,"48,08393","7,29588"
Chateau Potensac,"45,30732","-0,85832"
Chateau Montrose,"45,24652","-0,75324"
Chateau Latour,"45,17532","-0,74969"
Chateau Pichon,"45,17628","-0,75056"
Chateau Leoville,"45,16404","-0,74041"
Clos du Marquis,"45,07027","4,80774"
Chateau Leoville,"45,1572","-0,73912"
Chateau Talbot,"45,16045","-0,75553"
Chateau Ducru,"45,15104","-0,73467"
Chateau Gloria,"45,14859","-0,74181"
Chateau D'Issan,"45,03773","-0,65658"
Chateau Larrivet,"44,73105","-0,58544"
Chateau Pavie,"44,88328","-0,15081"
Chateau Trotanoy,"44,92998","-0,20752"
Chateau Nenin,"44,72473","-0,42177"
Chateau Marjosse,"44,81974","-0,23719"
Chateau Climens,"44,58967","-0,33438"
Chateau Doisy-Vedrines,"44,58601","-0,32352"
La Chablisienne,"47,46434","3,74380"
Domaine Paul Pillot,"46,93595","4,72512"
Domaine Michel Niellon,"46,92775","4,74196"
Domaine Alain Chavy,"46,94302","4,75339"
Domaine Matrot,"46,97595","4,77135"
Antoine Jobard,"46,98112","4,77187"
Domaine Tessier,"47,33745","2,82897"
Domaine Pascal Prunier-Bonheur,"46,98403","4,76282"
Domaine Fourrier,"46,92232","-0,74272"
Domaine Denis Mortet,"47,22789","4,96811"
Domaine Duroché,"47,22673","4,97192"
Domaine Hudelot-Noellat,"47,17948","4,96417"
Domaine Berthaut-Gerbet,"47,24543","4,97207"
Domaine Dujac,"47,19408","4,96568"
Domaine Ponsot,"47,20084","4,95818"
Philipponat,"49,04471","4,04054"
Agrapart,"48,97374","4,01518"
Domaine Vacheron,"47,32974","2,83797"
Nicolas JOLY,"47,39308","-0,63907"
Mirabeau,"44,06445","6,09730"
Triennes,"43,39257","5,78975"
Stephane Ogier,"48,91049","2,15566"
Domaine de Fontbonau,"44,43337","5,03161"
Eric Texier,"45,89302","4,66617"
Elian da Ros,"44,45128","0,03768"