Latitude,Longitude
"-33,0564",- 68.91374
"38,5686","-7,97423"
"41,10464","-7,38576"
"39,88643","-8,26883"
"-33,60481","-70,62693"
"42,63061","-1,99417"
"41,44347","-1,81205"
"41,60333","-4,26489"
"42,57278","-2,57971"
"40,96719","14,82298"
"44,62101","7,95461"
"40,63043","17,95790"
"43,05714","11,52073"
"45,88929","12,22490"
"48,08393","7,29588"
"45,30732","-0,85832"
"45,24652","-0,75324"
"45,17532","-0,74969"
"45,17628","-0,75056"
"45,16404","-0,74041"
"45,07027","4,80774"
"45,1572","-0,73912"
"45,16045","-0,75553"
"45,15104","-0,73467"
"45,14859","-0,74181"
"45,03773","-0,65658"
"44,73105","-0,58544"
"44,88328","-0,15081"
"44,92998","-0,20752"
"44,72473","-0,42177"
"44,81974","-0,23719"
"44,58967","-0,33438"
"44,58601","-0,32352"
"47,46434","3,74380"
"46,93595","4,72512"
"46,92775","4,74196"
"46,94302","4,75339"
"46,97595","4,77135"
"46,98112","4,77187"
"47,33745","2,82897"
"46,98403","4,76282"
"46,92232","-0,74272"
"47,22789","4,96811"
"47,22673","4,97192"
"47,17948","4,96417"
"47,24543","4,97207"
"47,19408","4,96568"
"47,20084","4,95818"
"49,04471","4,04054"
"48,97374","4,01518"
"47,32974","2,83797"
"47,39308","-0,63907"
"44,06445","6,09730"
"43,39257","5,78975"
"48,91049","2,15566"
"44,43337","5,03161"
"45,89302","4,66617"
"44,45128","0,03768"